,0,1,Label
0,-73.66231,21.47184,1
1,-85.529976,-18.868773,6
2,-63.817707,46.153763,4
3,5.373624,-53.199223,7
4,-12.040784,-2.9945893,1
5,-66.43344,-10.401965,6
6,1.4059062,-36.699955,8
7,-64.01843,35.714508,4
8,-48.135628,46.130615,4
9,15.380491,-82.93509,5
10,-66.13639,-3.9372573,6
11,-75.19868,-14.816995,6
12,-63.149628,38.655346,4
13,-52.10387,50.27358,4
14,-65.896164,-33.29413,6
15,1.910739,-46.39896,7
16,-49.756096,45.22823,4
17,-54.5252,48.03273,4
18,-55.519863,43.065044,4
19,-80.90251,-18.130854,6
20,-61.381737,-26.903206,6
21,-45.609196,25.117107,4
22,-69.06123,32.85295,1
23,12.389791,-78.60075,9
24,-62.38699,29.922588,1
25,-60.907246,-2.7252638,0
26,-8.160104,3.486406,0
27,-65.3686,35.409786,4
28,-20.690605,47.5742,5
29,-67.67325,16.582115,1
30,-64.656906,-8.356974,6
31,-50.07221,40.417854,4
32,-76.03022,-25.01285,6
33,-69.03468,32.000076,1
34,-71.62221,31.797832,1
35,-54.36938,33.011993,4
36,-31.63711,-0.06967765,1
37,-56.87604,-45.23841,8
38,-82.631905,3.930434,1
39,-71.28098,-3.2493763,1
40,-73.27318,-23.19077,6
41,8.963154,-19.267935,8
42,-77.83334,-4.80554,6
43,-56.09224,-40.989094,6
44,-53.24972,44.598164,4
45,-3.4914136,-24.148527,8
46,-55.064034,43.14251,4
47,-68.54916,-9.767557,6
48,-56.721577,-40.88859,6
49,-41.457542,48.395233,4
50,12.001471,-78.30866,9
51,-77.43819,-24.284275,6
52,-82.50125,-6.6006417,6
53,-66.43733,34.35697,4
54,-59.14412,-43.352997,6
55,-80.12409,-2.3703456,1
56,-9.704774,12.241826,1
57,-68.42115,-29.35568,6
58,-39.625507,36.91885,4
59,4.3958282,-52.260677,7
60,-66.78318,34.21115,4
61,-62.64314,15.039934,1
62,-58.190685,17.33095,1
63,-54.623817,40.438988,4
64,-79.3045,-2.2401114,1
65,-39.38974,-21.15377,6
66,-66.139694,-34.022823,6
67,1.7313299,-35.92737,8
68,-77.12372,-29.164341,6
69,-64.08599,14.230265,1
70,-53.776222,45.39571,4
71,-8.077457,29.651367,4
72,-74.09587,-8.403657,6
73,-67.48517,28.467505,1
74,22.263407,-16.932632,8
75,-69.78435,33.513382,1
76,-40.808643,50.372513,4
77,-62.4868,11.308953,1
78,-53.01895,-19.711159,6
79,-59.389187,-34.48742,6
80,-76.5176,-29.563957,6
81,-59.24694,31.858768,1
82,14.099141,-80.62775,5
83,3.0763755,-48.484707,7
84,-62.66045,38.44388,4
85,-16.086788,-11.974628,0
86,-31.704329,30.229284,4
87,-82.581955,4.01765,1
88,-56.22053,15.993995,1
89,-37.560722,-22.051836,6
90,-67.920906,24.96405,1
91,-73.42316,-29.779196,6
92,-66.86581,27.020319,1
93,-48.943527,44.22685,4
94,1.1713945,-50.02061,0
95,-64.80833,-28.51439,6
96,-64.65624,-11.6305275,6
97,-30.630852,14.579589,1
98,-63.15,-31.382313,6
99,-80.20432,14.902355,1
100,-70.36008,24.602875,1
101,-59.151752,-41.1677,6
102,-80.203735,-19.8007,6
103,-64.0478,-41.716473,6
104,40.333008,-23.861713,3
105,-72.671555,-10.5405445,6
106,3.3049078,-46.46284,7
107,-73.769844,-14.267711,6
108,-61.0882,-2.6454635,1
109,-68.433304,-1.1618927,1
110,-71.79484,7.4529243,1
111,0.9710415,-24.914223,8
112,-85.37816,5.2469397,1
113,-17.586964,-3.0410159,1
114,-43.896255,-7.1841083,6
115,-50.696,36.92898,4
116,-82.40132,-8.265344,6
117,11.290698,-76.60312,9
118,-76.16943,-5.02503,1
119,-85.53418,-22.476519,6
120,-59.313,-23.42854,6
121,9.292804,-75.18753,0
122,-36.076874,41.513176,4
123,-62.970768,36.751465,4
124,-77.56837,-29.338213,6
125,-79.97493,-18.593935,6
126,10.544633,-71.18603,0
127,-59.02955,-44.529,6
128,-45.686638,52.158504,4
129,-78.48991,-11.785553,6
130,-45.559776,45.656197,4
131,1.6846455,-35.936264,8
132,-63.7737,-41.217964,6
133,-64.019226,18.173897,1
134,6.643084,-53.941074,7
135,-55.188118,41.22677,4
136,-76.81219,4.116451,1
137,-59.747917,-42.925907,6
138,-62.80749,48.08791,4
139,-80.560646,15.199518,1
140,20.52128,-13.17023,8
141,40.404167,-18.060787,3
142,-26.19128,-20.768559,0
143,-41.650852,-2.478367,1
144,-27.176296,23.937868,4
145,47.91396,-69.161865,5
146,0.6647115,-48.444946,7
147,-14.120219,-8.133488,0
148,-72.38253,20.864073,1
149,-44.90222,49.500957,4
150,47.121777,-22.25994,3
151,9.133884,-19.291475,8
152,-63.771362,13.875971,1
153,-61.55579,-2.4116468,0
154,-62.17891,30.672783,1
155,15.908456,-81.5246,5
156,-36.58023,41.03336,4
157,-64.53904,-24.541887,6
158,8.693221,-10.602237,8
159,-50.30001,45.342445,4
160,-61.287712,32.201042,1
161,-74.614876,0.65062386,1
162,-68.638535,36.366215,4
163,-80.652466,-18.280499,6
164,-27.691605,40.457108,4
165,40.306812,-23.705545,3
166,16.092375,-81.41475,5
167,17.86113,-13.723563,8
168,3.1198046,-19.608929,8
169,-59.831024,12.17924,1
170,-0.59106416,-23.632122,8
171,-61.994705,-27.572466,6
172,-69.39591,31.506315,1
173,46.199287,-22.172655,3
174,-51.729973,45.687634,4
175,9.753733,-73.331825,9
176,-82.520195,-4.830729,6
177,-78.46302,-14.879408,6
178,-61.209877,38.91472,4
179,-66.07739,18.933233,1
180,-36.761154,8.678197,1
181,-62.836876,42.67083,4
182,21.964102,-14.105217,8
183,-66.65226,-24.118559,6
184,10.520934,-71.248215,0
185,-55.485607,52.623596,4
186,-68.65315,-27.234982,6
187,23.256975,-38.097115,0
188,4.942957,-53.369053,7
189,13.379686,-79.84816,5
190,-76.4257,-5.9526505,6
191,-65.08645,33.211113,4
192,-74.72709,14.802375,1
193,-22.977718,-29.179125,0
194,-67.563705,3.5807557,1
195,-65.823746,1.3694347,1
196,-80.24442,-16.271515,6
197,-63.30765,12.509509,1
198,-70.64944,6.1675186,1
199,-69.572586,33.696487,4
200,-47.642593,21.362587,4
201,3.871867,-52.70409,7
202,1.2404684,-36.813374,8
203,1.7108749,-20.28358,8
204,5.6318398,17.973091,8
205,-70.95968,20.387604,1
206,1.8393588,-38.152004,0
207,-69.27596,31.455532,1
208,26.225567,-15.867478,8
209,27.964819,-15.144682,3
210,10.775723,-75.1355,0
211,-48.9624,46.05191,4
212,-80.87283,-18.45364,6
213,-58.556007,-43.453876,6
214,-48.23731,43.738506,4
215,-29.378633,-0.52911794,1
216,-29.969687,-27.798626,6
217,-48.776817,-13.31169,6
218,-14.873343,7.07663,1
219,-60.822098,-7.5291014,6
220,-61.563213,30.563541,1
221,-67.39857,-27.371597,6
222,20.0365,-9.412327,8
223,-4.969027,-58.32447,9
224,-41.135498,49.039143,4
225,-84.27901,-7.796243,6
226,-77.3366,-29.299341,6
227,-43.281918,-10.831119,6
228,-35.80433,9.324245,1
229,-64.99779,47.078827,4
230,-62.80296,36.33161,4
231,-61.75279,46.614365,4
232,21.854628,-14.749468,8
233,7.2944694,-55.900467,2
234,-54.4816,37.259052,4
235,-44.010487,-34.519493,6
236,-26.889826,41.437027,4
237,-37.460617,36.034973,4
238,10.338491,-25.777431,8
239,3.7520828,-55.013508,7
240,-62.22113,-10.617963,6
241,-52.482224,43.8996,4
242,0.8272785,-20.647015,8
243,-66.81764,-26.26622,6
244,21.696394,-15.040416,8
245,16.65807,-81.2103,5
246,-7.5492516,1.8933747,0
247,-43.242455,5.3660097,1
248,-56.516144,43.609604,4
249,-64.0253,-24.803905,6
250,10.245005,-14.788436,8
251,6.8204136,-55.656063,2
252,-28.968414,18.14797,1
253,13.596447,-81.109085,5
254,-72.72429,5.937666,1
255,-3.106501,-24.521868,8
256,-67.665924,0.7070336,1
257,6.1871886,-55.12568,7
258,4.24824,-53.88864,7
259,-34.13901,-7.8985305,6
260,11.26581,-77.7161,9
261,-21.515074,-29.178846,0
262,-24.762657,37.809456,4
263,-36.09832,-41.53848,6
264,-53.475266,43.709824,4
265,-23.7859,-14.020276,0
266,-55.247044,34.059357,1
267,-69.42517,22.313759,1
268,-63.26693,38.72481,1
269,-62.652496,-27.65047,6
270,-62.403683,-42.420868,6
271,-78.74112,-18.833635,6
272,-67.30576,5.5625377,1
273,-78.339966,-28.588877,6
274,11.013837,-75.8472,9
275,-33.843338,46.423008,4
276,-32.899284,1.8852642,1
277,2.1158211,-48.419846,7
278,-54.471844,37.204266,4
279,-20.670263,45.20616,4
280,-56.25483,15.850991,1
281,-32.166027,4.06662,1
282,16.731703,-13.844191,8
283,-46.84336,21.865194,4
284,-74.295845,16.56444,1
285,-72.43595,15.360974,1
286,-37.972576,-18.509804,6
287,-60.262062,11.665213,1
288,-68.23663,-38.603493,6
289,9.853288,-18.907223,8
290,-62.464172,40.228058,4
291,-68.484344,-22.961878,6
292,7.646993,-51.878395,2
293,-23.336983,20.091051,1
294,-2.626347,-23.559175,8
295,-34.982334,8.739776,1
296,5.183262,-54.21841,7
297,9.983824,-74.02144,0
298,-45.79764,53.725315,4
299,-54.3358,36.613777,4
300,10.714592,-71.306335,0
301,-60.844315,24.616274,1
302,-64.484085,-9.509462,6
303,-66.51547,14.940535,1
304,-82.90888,-26.08512,6
305,-77.95114,5.611566,1
306,-70.570724,35.83905,4
307,-67.81522,24.816593,1
308,-79.62527,-27.49952,6
309,-26.64923,-25.414177,0
310,-33.762817,35.979122,4
311,14.909893,-82.15796,5
312,-69.08106,31.703833,1
313,-71.10809,42.45586,4
314,-38.509167,51.409428,4
315,-73.966255,3.8533192,1
316,-61.812775,20.318373,1
317,-68.44289,-4.104239,6
318,-72.395256,-19.671986,6
319,-58.17218,51.67697,4
320,-68.52049,3.797705,1
321,-60.88611,-7.003534,6
322,-63.319923,-42.474197,6
323,4.094699,-54.16895,7
324,-59.5005,-38.36805,6
325,-64.128815,-20.934505,0
326,-44.1249,-27.747427,6
327,-78.20471,-14.750117,6
328,-58.42378,-43.648827,6
329,3.4495757,-51.558716,7
330,-3.9312468,-24.305338,8
331,-0.16211051,-20.879894,8
332,-38.590416,-22.243368,6
333,-69.3389,19.496635,1
334,-72.533936,-9.991501,6
335,-72.227135,9.20388,1
336,-65.42677,-6.948236,6
337,2.2433913,-48.0559,7
338,-71.98949,14.4517975,1
339,-44.361374,-3.186751,1
340,-71.59291,13.357182,1
341,-67.85928,-30.29508,6
342,-47.123604,46.78594,4
343,13.22921,-79.63107,5
344,-54.681107,41.054996,4
345,-4.7284956,-27.876404,7
346,-69.38039,24.283737,1
347,-64.111595,24.775969,1
348,-72.230774,6.163424,1
349,-55.3069,38.159893,4
350,-80.81278,-17.726181,6
351,-66.06895,25.74478,1
352,-82.137054,-28.571266,6
353,-1.0839901,-24.250143,8
354,-67.5709,21.095127,1
355,-52.140755,45.575764,4
356,6.9358788,-55.975864,2
357,15.428705,-83.041725,5
358,-60.209812,-5.152309,0
359,-32.48952,37.187782,4
360,6.300679,-57.39065,2
361,-77.51288,-17.062344,6
362,-54.101036,43.083977,4
363,-81.821365,4.307381,1
364,-62.96003,43.64354,4
365,-65.4279,-28.027327,6
366,10.52248,-74.56511,9
367,-54.932835,-29.563137,6
368,13.52818,-80.85137,5
369,-12.605933,-2.4635487,1
370,-38.91328,43.730293,4
371,-61.227833,-38.683132,6
372,-60.282078,23.72831,1
373,-3.7028706,-28.340687,7
374,-43.741383,50.743332,4
375,-83.02818,-25.51893,6
376,-63.82352,40.256096,1
377,-20.303448,20.483238,1
378,-57.251034,16.808376,1
379,-41.594734,2.5991662,1
380,-51.235123,45.279537,4
381,-72.45756,-10.020039,6
382,-29.15744,-27.709095,6
383,2.7100775,-16.999853,8
384,-57.076096,-45.033245,8
385,-79.61132,-1.9176183,1
386,-41.95613,5.2330017,1
387,15.018535,-82.4823,5
388,-71.59573,20.118507,1
389,-65.067024,24.149685,1
390,19.960142,-11.853725,8
391,-64.53766,14.135219,1
392,-32.57633,37.281372,4
393,-3.5761604,-27.874899,8
394,-61.207542,30.681116,1
395,0.10296929,-26.0746,8
396,-33.65005,39.681866,4
397,-60.981228,38.78997,4
398,10.212616,-74.12175,0
399,-59.22471,-43.254482,6
400,-47.108498,46.955784,4
401,-54.85612,-29.462183,6
402,-48.405956,-11.238561,6
403,-1.4297044,-18.729069,8
404,-65.40261,25.592953,1
405,-53.51846,42.0164,4
406,-64.70165,23.04363,1
407,-72.97881,-31.734722,6
408,-84.37859,-2.2013705,1
409,-42.833492,24.36016,1
410,11.304747,-77.54533,1
411,-1.3534689,-80.31346,9
412,-71.022705,22.115839,1
413,-54.47705,42.645565,4
414,-85.715775,-22.517002,6
415,-66.57012,32.833233,4
416,9.708347,-71.85801,0
417,3.3646736,-48.70228,7
418,-66.7775,8.983056,1
419,-66.218056,4.2296658,1
420,-61.024002,19.575249,1
421,-71.7924,23.088804,1
422,-62.716156,37.46346,4
423,-72.510475,27.854145,4
424,-74.46384,0.24919204,1
425,30.857384,-17.697111,8
426,-36.333897,8.978008,1
427,23.193268,-14.65949,8
428,-59.843727,14.374946,1
429,-63.45459,46.02329,4
430,-67.06037,20.529171,1
431,9.421816,-72.03871,0
432,-61.484756,-13.843844,6
433,-62.11047,48.131283,4
434,-66.262634,-23.074034,6
435,-76.32781,-4.475179,1
436,-51.54913,45.220367,4
437,6.638567,-56.096916,2
438,-65.61267,-36.82945,6
439,15.689487,-14.945675,8
440,5.937457,-52.43779,2
441,-61.31056,43.244995,4
442,-70.47007,18.095545,1
443,13.5812435,-79.86006,5
444,10.97865,-71.93355,0
445,-73.949295,-30.4635,6
446,-45.281834,49.286922,4
447,-65.84014,26.576847,1
448,-14.013928,23.9922,4
449,-82.8188,4.019353,1
450,-69.68275,35.670063,4
451,21.187342,-13.409122,8
